"""코로나19 야간 통금"" 단속하는 터키 경찰"," 신종 코로나바이러스 감염증 재확산으로 부분 봉쇄조치가 내려진 터키의 수도 이스탄불에서 21일 경찰이 번화가인 이스티크랄 거리를 순찰하고 있다.	 터키에서는 주말에 밤 8시부터 다음날 오전 10시까지 주민 통행을 금하고 평일에도 음식점 등 접객업소 영업시간을 제한하고 있다.	 전국의 모든 학교는 연말까지 대면 수업을 중단해야 한다.	     <저작권자 연합뉴스, 무단 전재-"
코카나무 재배지서 마약퇴치 작전 벌이는 콜롬비아 경찰," 30일 콜롬비아 남서부 투마코의 코카나무 재배지에서 마약 퇴치 경찰이 헬기의 엄포 아래 작전을 펼치고 있다.	 이곳에서는 코카인의 원료인 코카나무가 재배되고 있다.	     <저작권자 연합뉴스, 무단 전재-"
트럼프 찬반 시위대 충돌 막는 경찰," 도널드 트럼프 미국 대통령 찬반 시위대가 21일 조지아주 애틀랜타의 주 의사당과 인근 시청 앞에서 시위를 벌이자 경찰이 그 사이에 배치돼 양측의 충돌을 막고 있다.	 조지아주는 11ㆍ3대선 수작업 재검표 끝에 근소한 차로 앞선 조 바이든 당선인의 승리를 인증했으나 트럼프 대통령 측이 이날 또다시 추가 재검표를 요청하면서 양측 지지자 사이에 긴장감이 높아지고 있다.	     <저작권자 연합뉴스, 무단 전재-"
마라도나 극성팬 제지하는 아르헨티나 경찰," 26일 아르헨티나 부에노스아이레스 마요 광장에서 대통령궁에 안치된 아르헨티나 '축구 영웅' 디에고 마라도나의 시신이 담긴 관을 보려고 하는 한 극성팬을 경찰이 제지하고 있다.	 마라도나는 전날 심장마비로 60세를 일기로 별세했다.	     <저작권자 연합뉴스, 무단 전재-"
쿠데타 시도 관련자 재판 열리는 법원 앞 지키는 터키 경찰," 26일 터키 앙카라주 신칸 법원에서 지난 2016년 발생한 쿠데타 시도 혐의로 기소된 피고인들에 대한 재판이 진행 중인 가운데 경찰이 법원 입구를 지키고 있다.	 이날 터키 법원은 쿠데타 당시 수도 앙카라 인근 공군기지에서 근무했던 조종사와 지휘관 등 피고인 337명에게 종신형을 선고했다.	     <저작권자 연합뉴스, 무단 전재-"
농업개혁법 반대 시위 벌이는 인도 농민들," 27일 인도 북부 하리아나주의 소네파트에서 농민들이 시위를 벌이다 고가 횡단 도로에 경찰이 설치한 콘크리트 바리케이드를 철거하고 있다.	 이들은 지난 9월 의회를 통과한 농업개혁법을 정부가 폐지할 것을 촉구하며 수도 뉴델리로 행진했다.	     <저작권자 연합뉴스, 무단 전재-"
휴대전화 불빛 밝히며 야간집회하는 태국 민주화운동 시위대," 태국 민주화운동 시위대가 25일 수도 방콕의 시암상업은행 본사 앞에서 휴대전화의 불빛을 밝히며 군주제 개혁을 요구하는 집회를 벌이고 있다.	 SCB는 태국 국왕이 대주주인 은행이다.	 태국에서는 전날 경찰이 민주화운동 단체 지도부에게 처벌이 엄중한 왕실모독죄를 적용해 조사에 나선데다 이날 집회에서 시위대 여러 명이 총상을 입는 사건이 발생해 정국 긴장감이 높아지고 있다.	     <저작권자 연합뉴스, 무단 전재-"
"""흉기 공격"" 발생 스위스 백화점에 출동한 경찰 순찰차"," 24일 스위스 남부 티치노주 소도시 루가노의 한 백화점에서 일어난 흉기 공격 사건 현장에 경찰 순찰차가 출동해 있다.	 스위스 당국은 두 여성을 상대로 한 이 사건에 대해 테러의 가능성을 시사했으며 용의자는 현장에서 체포됐다고 밝혔다.	 당국은 피해자 한 명이 중상을 입었으며 다른 한 명은 경상을 입었다고 전했다.	     <저작권자 연합뉴스, 무단 전재-"
코로나19 검사 위해 몰려든 중국 상하이 푸둥공항 노동자들," 23일 중국 상하이 푸둥 국제공항에서 마스크를 착용한 공항 노동자들이 신종 코로나바이러스 감염증 검사를 받기 위해 대기 중인 가운데 경찰과 보안요원들이 경비를 서고 있다.	 중국 방역당국은 상하이에서 푸둥 국제공항 노동자를 중심으로 코로나19 확진자가 사흘 연속 나오자 시내 주거구역 3곳을 봉쇄하고 전 주민 대상 검사를 실시했다.	     <저작권자 연합뉴스, 무단 전재-"
경찰에 체포됐다 보석으로 풀려난 전 홍콩 야당 의원," 홍콩 야당인 민주당 소속의 테드 후이 전 의원이 18일 홍콩 경찰에 체포됐다가 보석으로 풀려난 뒤 경찰서  들을 만나고 있다.	 홍콩 경찰은 의회의 국가모독 금지법 통과를 방해했다는 이유로 이날 후이 전 의원을 포함한 전직 야당 의원 3명을 체포했다.	      <저작권자 연합뉴스, 무단 전재-"
대선 불복 시위대에 최루탄 쏘는 벨라루스 경찰," 벨라루스의 수도 민스크에서 15일 야권 후보 지지자들이 알렉산드르 루카셴코 대통령의 사퇴를 촉구하며 대선 불복 시위를 벌이자 경찰이 최루탄을 쏘며 강제해산에 나서고 있다.	 벨라루스에서는 대선이 시행된 8월 9일 이후 4개월째 거의 매일 야권의 선거 부정 규탄 집회와 시위가 이어지고 있다.	      <저작권자 연합뉴스, 무단 전재-"
대통령 탄핵 항의 시위대 향해 최루가스 쏘는 페루 경찰," 12일 페루 수도 리마에서 마르틴 비스카라 대통령의 탄핵에 항의하며 의회로 행진을 시도하는 시위대를 해산하기 위해 경찰이 최루가스를 발사하고 있다.	 페루 의회는 지난 9일 부패 혐의를 이유로 비스카라 대통령을 탄핵했으며 마누엘 메리노 국회의장이 대통령 권한대행을 맡았다.	      <저작권자 연합뉴스, 무단 전재-"
미 내슈빌 차량폭발 현장 살펴보는 경찰," 성탄절인 25일 차량 폭발 사건이 발생한 미국 테네시주 내슈빌 현장에 경찰이 출동해 대응하고 있다.	      <저작권자 연합뉴스, 무단 전재-"
경찰 헬멧 방패에 붉은색 페인트 칠하는 멕시코 여성 시위대," 11일 멕시코 수도 멕시코시티에서 여성 폭력에 항의하는 시위를 벌이던 한 무정부주의 페미니스트 여성이 경찰 헬멧 방패에 붉은색 페인트를 칠하고 있다.	 이날 시위는 행방불명 이틀 만에 시신으로 발견된 비앙카 로렌자나 양 피살 사건과 지난 9일 캉쿤에서 시위대를 향해 발포를 한 경찰에 항의하기 위해 열렸다.	     <저작권자 연합뉴스, 무단 전재-"
"태풍 ""밤꼬"" 잔해와 진흙으로 뒤덮인 필리핀 거리"," 태풍 '밤꼬'가 휩쓸고 지나간 필리핀 리잘주 로드리게스의 한 마을에서 13일 한 경찰관이 자신의 물품을 짊어진 채 태풍 잔해와 진흙으로 뒤덮인 거리를 힘겹게 걸어가고 있다.	     <저작권자 연합뉴스, 무단 전재-"
임시 대통령 취임 항의 시위대 강제 해산하는 페루 경찰," 11일 페루 수도 리마에서 마르틴 비스카라 대통령 탄핵과 국회의장의 임시 대통령 취임에 항의하는 시위대를 경찰이 강제해산하고 있다.	 페루 의회는 지난 9일 부패 혐의를 이유로 비스카라 대통령을 탄핵했으며 마누엘 메리노 국회의장이 임시 대통령에 취임했다.	 시위대는 확인되지 않은 부패 혐의를 빌미로 의회가 무리하게 대통령을 몰아냈다며 사흘째 전국적인 시위를 벌이고 있다.	     <저작권자 연합뉴스, 무단 전재-"
"태풍 ""밤꼬"" 홍수지역서 주민 구조하는 필리핀 경찰"," 태풍 '밤꼬'의 영향으로 홍수가 발생한 필리핀 수도 마닐라 외곽 마리키나에서 12일 경찰이 주민들을 구조하고 있다.	     <저작권자 연합뉴스, 무단 전재-"
경찰과 충돌하는 비스카라 전 페루 대통령 지지 시위대," 10일 페루 리마에서 마틴 비즈카라 전 대통령 지지자들이 의회로 행진하려다 저지하는 경찰과 충돌하고 있다.	 의회가 전날 비리 혐의가 제기된 비즈카라 대통령에 대한 탄핵안을 통과시킨 후 수도 리마를 비롯한 페루 곳곳에서는 의회를 규탄하고 비스카라의 복귀를 요구하는 시위가 이어졌다.	     <저작권자 연합뉴스, 무단 전재-"
경찰에 체포되는 미 오리건주 대선 시위대," 미국 대선 다음날인 4일 오리건주 포틀랜드에서 경찰이 시위대를 체포하고 있다.	 미 대선이 당선자를 확정짓지 못할 정도로 혼란에 빠진 가운데 이날 도널드 트럼프 대통령과 조 바이든 민주당 대선후보의 일부 지지자들이 거리로 나와 시위를 벌였다.	     <저작권자 연합뉴스, 무단 전재-"
미국 대선일에 시위 대응 나선 LA 경찰," 미국 대선일인 3일 캘리포니아주 로스앤젤레스에서 시위가 벌어지는 가운데 경찰이 경계를 서고 있다.	      <저작권자 연합뉴스, 무단 전재-"
반(反)트럼프 시위대 행진에 백악관 주변 순찰하는 미 경찰," 미국 대선일인 3일 워싱턴DC 백악관 인근에서 도널드 트럼프 대통령을 반대하는 시위대가 거리 행진을 하는 동안 경찰이 순찰 활동을 벌이고 있다.	      <저작권자 연합뉴스, 무단 전재-"
"오스트리아 빈 ""총격 테러"" 현장 지키는 군사경찰"," 4일 오스트리아 수도 빈 도심의 '총격 테러' 현장에서 중무장한 군사경찰이 경계를 서고 있다.	 지난 2일 밤 빈 도심 6곳에서 잇따라 총격 사건이 발생해 최소 4명이 숨지고 20여 명이 부상했다.	     <저작권자 연합뉴스, 무단 전재-"
핼러윈 흉기 난동 현장 주변 도로 봉쇄한 캐나다 경찰," 1일 새벽 캐나다 퀘벡의 명소인 샤토 프롱트낙 호텔 인근 도로를 경찰이 봉쇄하고 있다.	 핼러윈인 지난달 31일 밤 이 호텔 근처에서 중세시대 의상을 입은 남성이 행인들을 향해 흉기를 휘둘러 2명이 사망하고, 5명이 다쳤다.	 경찰은 추격 끝에 남성 1명을 용의자로 체포했다.	     <저작권자 연합뉴스, 무단 전재-"
Libya,"Libya’s UN-	supported government’s interior minister Fathi Bashagha is interviewed on Wednesday, Jan.	 6, 2021 in Tripoli Libya.	  Bashagha says he hopes that bringing stability to his war-	torn country will become a top priority for the Biden administration.	 Bashagha also told The Associated Press he would be ready to take on the role of prime minister in a yet-	to-	be-	formed unity government."
"미 연방대법원 앞 농성 ""배럿 인준"" 반대 시위대"," 에이미 코니 배럿 미국 연방대법관 지명자의 상원 인준을 반대하는 시위대가 25일 워싱턴DC 연방대법원 앞 '정의의 사색' 상 위에 올라 농성을 벌이며 경찰과 대치하고 있다.	 지난 22일 상원 법사위를 통과한 배럿 지명자 인준안은 오는 26일 상원 본회의에서 표결에 들어간다.	     <저작권자 연합뉴스, 무단 전재-"
"프랑스 리옹 ""그리스정교회 신부 피격"" 현장 봉쇄한 경찰"," 지난달 31일 프랑스 남동부 리옹의 한 그리스정교회 건물에서 신부가 총격을 당하는 사건이 발생하자 경찰과 구조대원들이 현장 주변을 봉쇄하고 있다.	 이날 오후 교회 문을 닫으려던 그리스 출신 신부가 총탄을 맞고 쓰러져 위독한 것으로 전해졌다.	     <저작권자 연합뉴스, 무단 전재-"
홍콩 야당 정치인 7명 체포…의회 소란 혐의," 지난 5월 8일 홍콩 입법회 회의 도중 범민주진영 의원 레이 찬이 경비원들에 의해  회의장 밖으로 끌려 나가고 있다.	 홍콩 경찰은 1일 레이 찬 등 최소 7명의 범민주진영 정치인을 지난 5월 8일 홍콩 의회인 입법회 회의 중 벌어진 소란과 관련해 입법회 법령 위반 혐의로 체포했다.	     <저작권자 연합뉴스, 무단 전재-"
경찰에 계란 던지는 스페인 카탈루냐 분리독립 시위대," 스페인으로부터 분리독립을 요구하는 카탈루냐주 시위대가 28일 주도 바르셀로나에서 시위를 벌이면서 경찰에 계란을 던지고 있다.	 스페인 당국은 최근 카탈루냐 분리독립 운동과 연계된 21명을 부패와 공공질서 문란 혐의 등으로 체포했다고 밝혔다.	      <저작권자 연합뉴스, 무단 전재-"
시위 와중에 약탈당한 미 필라델피아 월마트 매장," 28일 미국 필라델피아에 있는 월마트 매장에 간밤에 발생한 약탈로 인해 각종 상품이 바닥에 흩어져 있다.	 26일 흉기를 소지하고 있던 흑인이 경찰의 총격에 사망한 사건으로 계기로 필라델피아 곳곳에서는 이틀 동안 대규모 약탈 사태가 벌어졌다.	      <저작권자 연합뉴스, 무단 전재-"
약탈 사태로 야간통금 내려진 미 필라델피아 시내," 무장한 흑인 남성이 경찰 총격에 사망하자 약탈과 기물 파손이 벌어진 미국 필라델피아에 사건 발생 이틀만인 28일 야간 통금 조치가 내려진 가운데 한 행인이 홀로 도로에 서 있다.	      <저작권자 연합뉴스, 무단 전재-"
"""기형아 낙태 위헌"" 결정에 일주일째 이어지는 폴란드 시위"," 28일 폴란드 수도 바르샤바에서 '기형아 낙태 위헌' 결정에 항의하는 시위대가 의사당으로 가는 길목을 막고 시위를 벌이자 경찰이 의사당 경비를 서고 있다.	 폴란드 전역에서는 낙태를 제한하는 헌법재판소의 결정에 분노한 시민들이 거리로 쏟아져 나와 일주일째 시위를 벌이고 있다.	 헌재는 지난 22일 기형의 태아에 대해 낙태를 허용하는 법률이 위헌이라는 결정을 내렸다.	      <저작권자 연합뉴스, 무단 전재-"
